Location,Reading #,Timestamp,Air Quality (Raw MQ135),AQI (Indian Std),Temperature (C),Humidity (%)
Kalyan,1,09:00:00 am,692,90,33.1,37.9
Kalyan,2,09:01:00 am,687,88,33.5,38.6
Kalyan,3,09:02:00 am,669,85,33.5,38.6
Kalyan,4,09:03:00 am,661,84,33.3,38.2
Kalyan,5,09:04:00 am,652,83,33.3,36.6
Kalyan,6,09:05:00 am,672,86,33.3,38.2
Kalyan,7,09:06:00 am,680,87,33.6,38.4
Kalyan,8,09:07:00 am,660,84,33.7,37.6
Kalyan,9,09:08:00 am,652,83,34.0,35.7
Kalyan,10,09:09:00 am,659,84,33.6,37.2
Kalyan,11,09:10:00 am,656,84,33.5,36.9
Kalyan,12,09:11:00 am,644,81,33.9,36.9
Kalyan,13,09:12:00 am,673,87,34.0,36.1
Kalyan,14,09:13:00 am,770,110,33.7,35.9
Kalyan,15,09:14:00 am,646,83,33.7,34.5
Kalyan,16,09:15:00 am,672,86,34.3,36.5
Kalyan,17,09:16:00 am,645,82,33.9,34.9
Kalyan,18,09:17:00 am,661,85,34.2,34.3
Kalyan,19,09:18:00 am,652,83,34.1,35.3
Kalyan,20,09:19:00 am,656,84,34.1,34.8
Kalyan,21,09:20:00 am,650,83,34.3,34.1
Kalyan,22,09:21:00 am,631,81,34.1,33.2
Kalyan,23,09:22:00 am,641,81,34.1,34.9
Kalyan,24,09:23:00 am,640,81,34.6,34.6
Kalyan,25,09:24:00 am,783,115,34.7,34.2
Kalyan,26,09:25:00 am,635,81,34.2,33.2
Kalyan,27,09:26:00 am,633,80,34.8,33.6
Kalyan,28,09:27:00 am,643,83,34.6,32.3
Kalyan,29,09:28:00 am,646,83,34.7,32.8
Kalyan,30,09:29:00 am,624,79,34.5,32.5
Kalyan,31,09:30:00 am,632,81,34.7,32.5
Kalyan,32,09:31:00 am,613,77,35.0,32.1
Kalyan,33,09:32:00 am,623,80,34.6,31.9
Kalyan,34,09:33:00 am,644,84,34.7,31.5
Kalyan,35,09:34:00 am,617,78,35.1,32.1
Kalyan,36,09:35:00 am,610,78,34.7,30.8
Kalyan,37,09:36:00 am,613,78,35.2,30.7
Kalyan,38,09:37:00 am,630,81,34.9,31.8
Kalyan,39,09:38:00 am,609,76,35.3,32.5
Kalyan,40,09:39:00 am,630,81,35.0,30.4
Kalyan,41,09:40:00 am,606,76,35.1,32.1
Kalyan,42,09:41:00 am,616,79,34.9,30.9
Kalyan,43,09:42:00 am,610,77,35.5,31.6
Kalyan,44,09:43:00 am,614,78,35.4,31.3
Kalyan,45,09:44:00 am,619,79,35.5,29.7
Kalyan,46,09:45:00 am,588,73,35.5,31.3
Kalyan,47,09:46:00 am,622,80,35.6,29.8
Kalyan,48,09:47:00 am,620,78,35.7,31.3
Kalyan,49,09:48:00 am,585,73,35.4,30.7
Kalyan,50,09:49:00 am,616,78,35.8,31.1
Kalyan,51,09:50:00 am,587,73,35.7,30.9
Kalyan,52,09:51:00 am,599,76,35.6,29.1
Kalyan,53,09:52:00 am,581,72,35.6,30.3
Kalyan,54,09:53:00 am,581,72,35.7,29.4
Kalyan,55,09:54:00 am,576,71,35.7,30.4
Kalyan,56,09:55:00 am,581,73,35.6,27.6
Kalyan,57,09:56:00 am,581,72,36.1,28.5
Kalyan,58,09:57:00 am,592,75,35.9,28.5
Kalyan,59,09:58:00 am,590,74,35.9,29.4
Kalyan,60,09:59:00 am,566,70,35.9,28.1
