Location,Reading #,Timestamp,Air Quality (Raw MQ135),AQI (Indian Std),Temperature (C),Humidity (%)
Wadala,1,09:00:00 am,742,100,32.9,36.5
Wadala,2,09:01:00 am,724,97,33.3,35.6
Wadala,3,09:02:00 am,740,100,33.0,36.1
Wadala,4,09:03:00 am,720,96,33.3,35.5
Wadala,5,09:04:00 am,835,134,33.2,36.7
Wadala,6,09:05:00 am,737,99,33.4,36.1
Wadala,7,09:06:00 am,743,100,33.1,36.6
Wadala,8,09:07:00 am,750,106,33.2,34.8
Wadala,9,09:08:00 am,732,99,33.4,34.5
Wadala,10,09:09:00 am,730,97,33.3,36.6
Wadala,11,09:10:00 am,748,103,33.6,35.5
Wadala,12,09:11:00 am,740,102,33.6,34.3
Wadala,13,09:12:00 am,738,99,33.3,35.5
Wadala,14,09:13:00 am,741,100,33.2,36.2
Wadala,15,09:14:00 am,743,102,33.5,34.8
Wadala,16,09:15:00 am,723,96,33.7,35.9
Wadala,17,09:16:00 am,708,95,33.3,34.5
Wadala,18,09:17:00 am,725,98,33.6,33.8
Wadala,19,09:18:00 am,736,99,33.5,35.8
Wadala,20,09:19:00 am,733,99,33.9,33.3
Wadala,21,09:20:00 am,728,98,34.0,34.4
Wadala,22,09:21:00 am,717,97,33.6,33.4
Wadala,23,09:22:00 am,728,99,33.6,33.5
Wadala,24,09:23:00 am,725,97,34.0,34.3
Wadala,25,09:24:00 am,709,94,33.8,35.2
Wadala,26,09:25:00 am,702,93,34.0,34.6
Wadala,27,09:26:00 am,720,97,34.1,33.6
Wadala,28,09:27:00 am,734,101,33.9,32.5
Wadala,29,09:28:00 am,727,98,33.9,34.5
Wadala,30,09:29:00 am,733,101,33.8,32.5
Wadala,31,09:30:00 am,731,99,34.1,32.6
Wadala,32,09:31:00 am,726,98,34.0,33.1
Wadala,33,09:32:00 am,711,95,34.1,34.3
Wadala,34,09:33:00 am,701,93,34.1,34.3
Wadala,35,09:34:00 am,712,96,34.2,32.7
Wadala,36,09:35:00 am,714,96,33.9,33.1
Wadala,37,09:36:00 am,719,97,34.1,32.1
Wadala,38,09:37:00 am,820,133,34.1,32.3
Wadala,39,09:38:00 am,714,95,34.3,33.5
Wadala,40,09:39:00 am,706,94,34.3,32.7
Wadala,41,09:40:00 am,715,96,34.1,32.8
Wadala,42,09:41:00 am,719,97,34.3,33.1
Wadala,43,09:42:00 am,711,95,34.7,32.0
Wadala,44,09:43:00 am,719,97,34.5,32.3
Wadala,45,09:44:00 am,688,92,34.4,31.8
Wadala,46,09:45:00 am,686,91,34.5,32.6
Wadala,47,09:46:00 am,703,94,34.7,32.0
Wadala,48,09:47:00 am,837,140,34.6,30.8
Wadala,49,09:48:00 am,707,96,34.4,30.7
Wadala,50,09:49:00 am,684,90,34.4,32.6
Wadala,51,09:50:00 am,688,92,34.5,30.5
Wadala,52,09:51:00 am,708,95,34.9,31.3
Wadala,53,09:52:00 am,707,94,34.6,33.1
Wadala,54,09:53:00 am,685,91,34.7,31.6
Wadala,55,09:54:00 am,703,94,34.6,31.3
Wadala,56,09:55:00 am,688,91,34.9,32.8
Wadala,57,09:56:00 am,708,96,34.6,30.0
Wadala,58,09:57:00 am,704,95,34.7,30.8
Wadala,59,09:58:00 am,702,95,34.9,30.3
Wadala,60,09:59:00 am,703,93,34.8,32.6
